Rank,Title,Avg. Imdb Rating,List of Lists Score
195,"Jeanne Dielman, 23 Commerce Quay, 1080 Brussels",8,2
196,Intolerance: Love's Struggle Throughout the Ages,8,2
197,In the Heat of the Night,8,2
198,Frankenstein,8,2
199,Dog Day Afternoon,8,2
200,Days of Heaven,8,2
201,Dances with Wolves,8,2
202,Crimes and Misdemeanors,8,2
203,Brazil,8,2
204,Being There,8,2
205,"Aguirre, the Wrath of God",8,2
206,The Gospel According to St. Matthew,7.9,2
207,The Conversation,7.9,2
208,The Bride of Frankenstein,7.9,2
209,Stagecoach,7.9,2
210,Spartacus,7.9,2
211,My Fair Lady,7.9,2
212,Jules and Jim,7.9,2
213,Halloween,7.9,2
214,Edward Scissorhands,7.9,2
215,"Crouching Tiger, Hidden Dragon",7.9,2
216,Cabaret,7.9,2
217,Breaking the Waves,7.9,2
218,Badlands,7.9,2
219,Au Hasard Balthazar,7.9,2
220,The White Ribbon,7.8,2
221,The Umbrellas of Cherbourg,7.8,2
222,Rebel Without a Cause,7.8,2
223,Peeping Tom,7.8,2
224,Ordinary People,7.8,2
225,Nashville,7.8,2
226,Mutiny on the Bounty,7.8,2
227,Lost in Translation,7.8,2
228,Ladykillers,7.8,2
229,Goldfinger,7.8,2
230,From Here to Eternity,7.8,2
231,Fantasia,7.8,2
232,Clerks,7.8,2
233,Being John Malkovich,7.8,2
234,Airplane!,7.8,2
235,A Place in the Sun,7.8,2
236,Wuthering Heights,7.7,2
237,Vampyr,7.7,2
238,Titanic,7.7,2
239,The Producers,7.7,2
240,Swing Time,7.7,2
241,Shame,7.7,2
242,Rushmore,7.7,2
243,Pierrot le Fou,7.7,2
244,Giant,7.7,2
245,Deliverance,7.7,2
246,Contempt,7.7,2
247,All That Heaven Allows,7.7,2
248,Adaptation.,7.7,2
249,The Wicker Man,7.6,2
250,The Thin Red Line,7.6,2
251,The Haunting,7.6,2
252,The Evil Dead,7.6,2
253,Gertrud,7.6,2
254,Dracula,7.6,2
255,An Affair to Remember,7.6,2
256,The Texas Chain Saw Massacre,7.5,2
257,Sideways,7.5,2
258,Get Carter,7.5,2
259,Field of Dreams,7.5,2
260,"Distant Voices, Still Lives",7.5,2
261,Thelma & Louise,7.4,2
262,Terms of Endearment,7.4,2
263,Shadows,7.4,2
264,Say Anything...,7.4,2
265,Point Blank,7.4,2
266,Carrie,7.4,2
267,A Room with a View,7.4,2
268,Ringu,7.3,2
269,Jerry Maguire,7.3,2
270,Don't Look Now,7.3,2
271,Caché,7.3,2
272,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,2
273,The Jerk,7.2,2
274,Broadcast News,7.2,2
275,Audition,7.2,2
276,An American in Paris,7.2,2
277,Alphaville,7.2,2
278,There's Something About Mary,7.1,2
279,Moonstruck,7.1,2
280,The Jazz Singer,6.8,2
281,The Birth of a Nation,6.8,2
282,Les vampires,6.8,2
283,Clueless,6.8,2
284,The Postman Always Rings Twice,6.6,2
285,The Blair Witch Project,6.4,2
286,Dekalog,9.2,1
287,The Dark Knight,9,1
288,"The Good, the Bad and the Ugly",8.9,1
289,Star Wars: Episode V - The Empire Strikes Back,8.8,1
290,Inception,8.8,1
291,Fight Club,8.8,1
292,Senna,8.6,1
293,Se7en,8.6,1
294,Night and Fog,8.6,1
295,Woman in the Dunes,8.5,1
296,Whiplash,8.5,1
297,The Prestige,8.5,1
298,The Pianist,8.5,1
299,The Lives of Others,8.5,1
300,The Lion King,8.5,1
301,The Kingdom,8.5,1
302,The Great Dictator,8.5,1
303,The Departed,8.5,1
304,The Best of Youth,8.5,1
305,Le Trou,8.5,1
306,Grave of the Fireflies,8.5,1
307,Django Unchained,8.5,1
308,Cinema Paradiso,8.5,1
309,The Sorrow and the Pity,8.4,1
310,Star Wars: Episode VI - Return of the Jedi,8.4,1
311,Sansho the Bailiff,8.4,1
312,Reservoir Dogs,8.4,1
313,Requiem for a Dream,8.4,1
314,Princess Mononoke,8.4,1
315,Once Upon a Time in America,8.4,1
316,Oldboy,8.4,1
317,M,8.4,1
318,Das Boot,8.4,1
319,Children of Paradise,8.4,1
320,Braveheart,8.4,1
321,Amélie,8.4,1
322,Aliens,8.4,1
323,A Separation,8.4,1
324,A Brighter Summer Day,8.4,1
325,Y Tu Mama Tambien,8.3,1
326,Viridiana,8.3,1
327,Toy Story 3,8.3,1
328,The Young and the Damned,8.3,1
329,The Red Shoes,8.3,1
330,The Heiress,8.3,1
331,The Great Escape,8.3,1
332,The Given Word,8.3,1
333,The Big Parade,8.3,1
334,The Ascent,8.3,1
335,Sherlock Jr.,8.3,1
336,Rocco and His Brothers,8.3,1
337,Monty Python and the Holy Grail,8.3,1
338,Make Way for Tomorrow,8.3,1
339,Late Spring,8.3,1
340,Koyaanisqatsi,8.3,1
341,Inglourious Basterds,8.3,1
342,Ikiru,8.3,1
343,Hoop Dreams,8.3,1
344,Eternal Sunshine of the Spotless Mind,8.3,1
345,Downfall,8.3,1
346,Dilwale Dulhania Le Jayenge,8.3,1
347,Dersu Uzala,8.3,1
348,Come and See,8.3,1
349,An Autumn Afternoon,8.3,1
350,Z,8.2,1
351,Yol,8.2,1
352,White Heat,8.2,1
353,Umberto D.,8.2,1
354,Trouble in Paradise,8.2,1
355,Trainspotting,8.2,1
356,To Be or Not to Be,8.2,1
357,The World of Apu,8.2,1
358,The Wolf of Wall Street,8.2,1
359,The Thing,8.2,1
360,The Seventh Seal,8.2,1
361,The Mother and the Whore,8.2,1
362,The Life and Death of Colonel Blimp,8.2,1
363,The Exterminating Angel,8.2,1
364,The Elephant Man,8.2,1
365,The Cranes Are Flying,8.2,1
366,The Cow,8.2,1
367,The Act of Killing,8.2,1
368,Sans Soleil,8.2,1
369,Rebecca,8.2,1
370,Raise the Red Lantern,8.2,1
371,Nights of Cabiria,8.2,1
372,Marketa Lazarová,8.2,1
373,"Lock, Stock and Two Smoking Barrels",8.2,1
374,Into the Wild,8.2,1
375,Hearts of Darkness: A Filmmaker's Apocalypse,8.2,1
376,Fitzcarraldo,8.2,1
377,Deewaar,8.2,1
378,Cries & Whispers,8.2,1
379,Casino,8.2,1
380,Aparajito,8.2,1
381,Ace in the Hole,8.2,1
382,A Woman Under the Influence,8.2,1
383,A Trip to the Moon,8.2,1
384,A Man Escaped,8.2,1
385,Young Frankenstein,8.1,1
386,Yi Yi,8.1,1
387,Woodstock,8.1,1
388,Winter Light,8.1,1
389,Wings of Desire,8.1,1
390,What Ever Happened to Baby Jane?,8.1,1
391,Underground,8.1,1
392,Through a Glass Darkly,8.1,1
393,Throne of Blood,8.1,1
394,Three Colors: Red,8.1,1
395,The War Game,8.1,1
396,The Thin Man,8.1,1
397,The Thin Blue Line,8.1,1
398,The Shop on Main Street,8.1,1
399,The Phantom Carriage,8.1,1
400,The Ox-Bow Incident,8.1,1
401,The Night of the Hunter,8.1,1
402,The Music Room,8.1,1
403,The Man Who Shot Liberty Valance,8.1,1
404,The Lion in Winter,8.1,1
405,The Leopard,8.1,1
406,The Last Laugh,8.1,1
407,The Great White Silence,8.1,1
408,The Grand Budapest Hotel,8.1,1
409,The Earrings of Madame de...,8.1,1
410,The Cloud-Capped Star,8.1,1
411,The Celebration,8.1,1
412,The Burmese Harp,8.1,1
413,The Bourne Ultimatum,8.1,1
414,Strangers on a Train,8.1,1
415,Stand by Me,8.1,1
416,Sleuth,8.1,1
417,Shadows of Forgotten Ancestors,8.1,1
418,"Paris, Texas",8.1,1
419,Out of the Past,8.1,1
420,Orpheus,8.1,1
421,Olympia Part One: Festival of the Nations,8.1,1
422,"Now, Voyager",8.1,1
423,No Country for Old Men,8.1,1
424,My Man Godfrey,8.1,1
425,My Life to Live,8.1,1
426,Mother India,8.1,1
427,Million Dollar Baby,8.1,1
428,Le Samoura_Ø,8.1,1
429,Laura,8.1,1
430,La Strada,8.1,1
431,Kill Bill: Vol. 1,8.1,1
432,Jurassic Park,8.1,1
433,I Am a Fugitive from a Chain Gang,8.1,1
434,Guardians of the Galaxy,8.1,1
435,Gold Diggers of 1933,8.1,1
436,Gandhi,8.1,1
437,Farewell My Concubine,8.1,1
438,Fanny and Alexander,8.1,1
439,Dodsworth,8.1,1
440,Day for Night,8.1,1
441,Cria Cuervos,8.1,1
442,Citizenfour,8.1,1
443,Chungking Express,8.1,1
444,Before Sunrise,8.1,1
445,Barry Lyndon,8.1,1
446,Au Revoir Les Enfants,8.1,1
447,Anatomy of a Murder,8.1,1
448,Amores Perros,8.1,1
449,Ali: Fear Eats the Soul,8.1,1
450,A City of Sadness,8.1,1
451,A Christmas Story,8.1,1
452,12 Years a Slave,8.1,1
453,3-Iron,8.1,1
454,Tokyo Olympiad,8,1
455,To Have and Have Not,8,1
456,Three Colors: Blue,8,1
457,The Tree of Wooden Clogs,8,1
458,The Travelling Players,8,1
459,The Servant,8,1
460,The Saragossa Manuscript,8,1
461,The Lost Weekend,8,1
462,The Lady Vanishes,8,1
463,The King's Speech,8,1
464,The Killing,8,1
465,The Incredibles,8,1
466,The House Is Black,8,1
467,The Diving Bell and the Butterfly,8,1
468,The Discreet Charm of the Bourgeoisie,8,1
469,The Crowd,8,1
470,The Big Heat,8,1
471,The Artist,8,1
472,Talk to Her,8,1
473,Stroszek,8,1
474,"Steamboat Bill, Jr.",8,1
475,Slumdog Millionaire,8,1
476,Shaun of the Dead,8,1
477,Shadow of a Doubt,8,1
478,Seven Chances,8,1
479,Secrets & Lies,8,1
480,Rope,8,1
481,Rio Bravo,8,1
482,Rain Man,8,1
483,Papillon,8,1
484,Pandora's Box,8,1
485,Onibaba,8,1
486,Olympia Part Two: Festival of Beauty,8,1
487,No Man's Land,8,1
488,Ninotchka,8,1
489,Night of the Living Dead,8,1
490,Mr. Deeds Goes to Town,8,1
491,Monsieur Verdoux,8,1
492,Mildred Pierce,8,1
493,Meshes of the Afternoon,8,1
494,Magnolia,8,1
495,Life of Pi,8,1
496,Letter from an Unknown Woman,8,1
497,Landscape in the Mist,8,1
498,La Notte,8,1
499,JFK,8,1
500,In a Lonely Place,8,1
501,Hiroshima Mon Amour,8,1
502,Head-On,8,1
503,Great Expectations,8,1
504,Freaks,8,1
505,District 9,8,1
506,Diary of a Country Priest,8,1
507,Dawn of the Dead,8,1
508,Dancer in the Dark,8,1
509,Crumb,8,1
510,Cleo from 5 to 7,8,1
511,Chimes at Midnight,8,1
512,Captains Courageous,8,1
513,Bowling for Columbine,8,1
514,Black Swan,8,1
515,Black Narcissus,8,1
516,Before Sunset,8,1
517,Beauty and the Beast,8,1
518,Anvil: The Story of Anvil,8,1
519,Angels with Dirty Faces,8,1
520,Amarcord,8,1
521,Way Down East,7.9,1
522,Toy Story 2,7.9,1
523,The Wrestler,7.9,1
524,The Untouchables,7.9,1
525,The Unknown,7.9,1
526,The Thief of Bagdad,7.9,1
527,The Ten Commandments,7.9,1
528,The Story of the Last Chrysanthemum,7.9,1
529,The Right Stuff,7.9,1
530,The Quiet Man,7.9,1
531,The Outlaw Josey Wales,7.9,1
532,The Mortal Storm,7.9,1
533,The Marriage of Maria Braun,7.9,1
534,The Magnificent Ambersons,7.9,1
535,The Killing Fields,7.9,1
536,The Killers,7.9,1
537,The Killer,7.9,1
538,The Innocents,7.9,1
539,The Ghost and Mrs. Muir,7.9,1
540,The Ear,7.9,1
541,The Double Life of Veronique,7.9,1
542,The Breakfast Club,7.9,1
543,The Ballad of Narayama,7.9,1
544,The Bad and the Beautiful,7.9,1
545,The Awful Truth,7.9,1
546,The Asphalt Jungle,7.9,1
547,Tampopo,7.9,1
548,Smiles of a Summer Night,7.9,1
549,Queen Christina,7.9,1
550,Our Hospitality,7.9,1
551,Orphans of the Storm,7.9,1
552,Once,7.9,1
553,Nine Queens,7.9,1
554,My Left Foot,7.9,1
555,Murmur of the Heart,7.9,1
556,Mon Oncle,7.9,1
557,Mishima: A Life in Four Chapters,7.9,1
558,Miller's Crossing,7.9,1
559,Manila in the Claws of Light,7.9,1
560,Man of Marble,7.9,1
561,Live and Become,7.9,1
562,Little Miss Sunshine,7.9,1
563,Last Year at Marienbad,7.9,1
564,L'Eclisse,7.9,1
565,Hud,7.9,1
566,Hero,7.9,1
567,Hard Boiled,7.9,1
568,Greed,7.9,1
569,Glory,7.9,1
570,Gimme Shelter,7.9,1
571,Gaslight,7.9,1
572,Forbidden Games,7.9,1
573,Floating Weeds,7.9,1
574,Fireworks,7.9,1
575,Ferris Bueller's Day Off,7.9,1
576,Dr. Mabuse: The Gambler,7.9,1
577,Crash,7.9,1
578,Children of Men,7.9,1
579,Bus 174,7.9,1
580,Boyhood,7.9,1
581,Boogie Nights,7.9,1
582,Babette's Feast,7.9,1
583,Avatar,7.9,1
584,Ashes and Diamonds,7.9,1
585,Amour,7.9,1
586,All About My Mother,7.9,1
587,"A Time to Live, a Time to Die",7.9,1
588,A Prophet,7.9,1
589,Withnail & I,7.8,1
590,Willy Wonka & the Chocolate Factory,7.8,1
591,Wake in Fright,7.8,1
592,Vagabond,7.8,1
593,Un Chien Andalou,7.8,1
594,Top Hat,7.8,1
595,Through the Olive Trees,7.8,1
596,The White Balloon,7.8,1
597,The Verdict,7.8,1
598,The Vanishing,7.8,1
599,The Red and the White,7.8,1
600,The Purple Rose of Cairo,7.8,1
601,The Official Story,7.8,1
602,The Last of the Mohicans,7.8,1
603,The King of Comedy,7.8,1
604,The Hangover,7.8,1
605,The Goddess,7.8,1
606,The Girl with the Dragon Tattoo,7.8,1
607,The Devils,7.8,1
608,The Day the Earth Stood Still,7.8,1
609,The Curious Case of Benjamin Button,7.8,1
610,The Color Purple,7.8,1
611,The Blue Angel,7.8,1
612,The Bitter Tears of Petra von Kant,7.8,1
613,The Adventures of Prince Achmed,7.8,1
614,The 39 Steps,7.8,1
615,The 36th Chamber of Shaolin,7.8,1
616,Splendor in the Grass,7.8,1
617,Sons of the Desert,7.8,1
618,Soldier of Orange,7.8,1
619,Skyfall,7.8,1
620,Serpico,7.8,1
621,Sergeant York,7.8,1
622,Run Lola Run,7.8,1
623,Repulsion,7.8,1
624,Red River,7.8,1
625,Pickup on South Street,7.8,1
626,Pickpocket,7.8,1
627,Paisan,7.8,1
628,Pépé le Moko,7.8,1
629,Ossessione,7.8,1
630,Open Your Eyes,7.8,1
631,Odd Man Out,7.8,1
632,"O Brother, Where Art Thou?",7.8,1
633,Nanook of the North,7.8,1
634,My Darling Clementine,7.8,1
635,Memories of Underdevelopment,7.8,1
636,Mary Poppins,7.8,1
637,Love Me Tonight,7.8,1
638,Le Jour se Leve,7.8,1
639,La belle noiseuse,7.8,1
640,Kramer vs. Kramer,7.8,1
