Rank,Title,Avg. Imdb Rating,List of Lists Score
846,The Unbelievable Truth,7.5,1
847,The Night of the Shooting Stars,7.5,1
848,The Natural,7.5,1
849,The Naked Spur,7.5,1
850,The Man with the Golden Arm,7.5,1
851,The Man Who Knew Too Much,7.5,1
852,The Last Metro,7.5,1
853,The Killing of a Chinese Bookie,7.5,1
854,The Ice Storm,7.5,1
855,The Fly,7.5,1
856,The Eagle,7.5,1
857,The Constant Gardener,7.5,1
858,The Class,7.5,1
859,The Aviator,7.5,1
860,"The Adventures of Priscilla, Queen of the Desert",7.5,1
861,Suspiria,7.5,1
862,Straw Dogs,7.5,1
863,Stella Dallas,7.5,1
864,Some Came Running,7.5,1
865,Snow White,7.5,1
866,Shock Corridor,7.5,1
867,Sherman's March,7.5,1
868,Shanghai Express,7.5,1
869,Salvador,7.5,1
870,Salt of the Earth,7.5,1
871,Rosetta,7.5,1
872,Roger & Me,7.5,1
873,RoboCop,7.5,1
874,Reds,7.5,1
875,Red Sorghum,7.5,1
876,Rabbit-Proof Fence,7.5,1
877,Pinocchio,7.5,1
878,Pi,7.5,1
879,Peking Opera Blues,7.5,1
880,Paradise Now,7.5,1
881,October (Ten Days that Shook the World),7.5,1
882,Local Hero,7.5,1
883,L'argent,7.5,1
884,L'Age d'Or,7.5,1
885,Jacob's Ladder,7.5,1
886,It's a Gift,7.5,1
887,In the Loop,7.5,1
888,Hugo,7.5,1
889,Gunga Din,7.5,1
890,Gangs of New York,7.5,1
891,Gallipoli,7.5,1
892,Frenzy,7.5,1
893,Five Easy Pieces,7.5,1
894,Fat City,7.5,1
895,Fahrenheit 9/11,7.5,1
896,Entranced Earth,7.5,1
897,El Topo,7.5,1
898,Earth,7.5,1
899,Detour,7.5,1
900,Death in Venice,7.5,1
901,Daisies,7.5,1
902,Bullitt,7.5,1
903,Buffalo '66,7.5,1
904,Bring Me the Head of Alfredo Garcia,7.5,1
905,Bram Stoker's Dracula,7.5,1
906,Boudu Saved from Drowning,7.5,1
907,Black Orpheus,7.5,1
908,Babel,7.5,1
909,Ali Zaoua: Prince of the Streets,7.5,1
910,A Nightmare on Elm Street,7.5,1
911,Zero Kelvin,7.4,1
912,Witness,7.4,1
913,Weekend,7.4,1
914,Wall Street,7.4,1
915,Three Brothers,7.4,1
916,The Wolf Man,7.4,1
917,The Stranger,7.4,1
918,The Son's Room,7.4,1
919,The Rocky Horror Picture Show,7.4,1
920,The Piano Teacher,7.4,1
921,The Phenix City Story,7.4,1
922,The Man from Laramie,7.4,1
923,The Kid with a Bike,7.4,1
924,The English Patient,7.4,1
925,The Decline of the American Empire,7.4,1
926,The Dead,7.4,1
927,The Chant of Jimmie Blacksmith,7.4,1
928,The Bank Dick,7.4,1
929,The American Friend,7.4,1
930,Targets,7.4,1
931,Smoke,7.4,1
932,Seven Brides for Seven Brothers,7.4,1
933,Russian Ark,7.4,1
934,Raising Arizona,7.4,1
935,Poltergeist,7.4,1
936,Pat Garrett & Billy the Kid,7.4,1
937,Osama,7.4,1
938,Once Upon a Time in China,7.4,1
939,Napoleon,7.4,1
940,My Brilliant Career,7.4,1
941,Monsoon Wedding,7.4,1
942,Mean Streets,7.4,1
943,Lola Montès,7.4,1
944,Lincoln,7.4,1
945,Limite,7.4,1
946,Lantana,7.4,1
947,Kiss of the Spider Woman,7.4,1
948,Killer of Sheep,7.4,1
949,Irreversible,7.4,1
950,Inside Llewyn Davis,7.4,1
951,Ida,7.4,1
952,Horror of Dracula,7.4,1
953,Hombre,7.4,1
954,Heavenly Creatures,7.4,1
955,Force of Evil,7.4,1
956,Far from Heaven,7.4,1
957,Eraserhead,7.4,1
958,Drugstore Cowboy,7.4,1
959,Deconstructing Harry,7.4,1
960,Cyclo,7.4,1
961,Cave of Forgotten Dreams,7.4,1
962,Cat People,7.4,1
963,Body Heat,7.4,1
964,"Black God, White Devil",7.4,1
965,Atlantic City,7.4,1
966,A Passage to India,7.4,1
967,Whisky Galore,7.3,1
968,What Time Is It There?,7.3,1
969,Videodrome,7.3,1
970,Two-Lane Blacktop,7.3,1
971,Tsotsi,7.3,1
972,The Reckless Moment,7.3,1
973,The Queen,7.3,1
974,The Life of Emile Zola,7.3,1
975,The Housemaid,7.3,1
976,The Great Train Robbery,7.3,1
977,"The Good, the Bad, the Weird",7.3,1
978,The Draughtsman's Contract,7.3,1
979,The Descendants,7.3,1
980,The Crying Game,7.3,1
981,The 4th Man,7.3,1
982,Surfwise,7.3,1
983,Storm Over Asia,7.3,1
984,Sleeper,7.3,1
985,Ride Lonesome,7.3,1
986,Reversal of Fortune,7.3,1
987,Precious,7.3,1
988,Peter Ibbetson,7.3,1
989,Natural Born Killers,7.3,1
990,Lucía,7.3,1
991,Little Caesar,7.3,1
992,Housekeeping,7.3,1
993,Histoire(s) du cinéma: Une histoire seule,7.3,1
994,Henry V,7.3,1
995,Guys and Dolls,7.3,1
996,"Good Morning, Vietnam",7.3,1
997,Gentlemen Prefer Blondes,7.3,1
998,Four Lions,7.3,1
999,Foolish Wives,7.3,1
1000,Fish Tank,7.3,1
1001,"Fast, Cheap & Out of Control",7.3,1
1002,Eyes Wide Shut,7.3,1
1003,Election,7.3,1
1004,Dumbo,7.3,1
1005,Drowning by Numbers,7.3,1
1006,Diva,7.3,1
1007,Deep End,7.3,1
1008,Dead Ringers,7.3,1
1009,Caro diario,7.3,1
1010,Black Sunday,7.3,1
1011,Big,7.3,1
1012,Beverly Hills Cop,7.3,1
1013,Before the Revolution,7.3,1
1014,Beau Travail,7.3,1
1015,Angel Face,7.3,1
1016,An Education,7.3,1
1017,American Hustle,7.3,1
1018,A Tale of the Wind,7.3,1
1019,War Horse,7.2,1
1020,Turkish Delight,7.2,1
1021,Three Lives and Only One Death,7.2,1
1022,The Last Wave,7.2,1
1023,The Horse Thief,7.2,1
1024,The Golden Coach,7.2,1
1025,The Butcher Boy,7.2,1
1026,The Black Cat,7.2,1
1027,The Bird with the Crystal Plumage,7.2,1
1028,The Big Red One,7.2,1
1029,The Big Chill,7.2,1
1030,The Age of Innocence,7.2,1
1031,Team America: World Police,7.2,1
1032,Strictly Ballroom,7.2,1
1033,Strange Days,7.2,1
1034,Starship Troopers,7.2,1
1035,Shakespeare in Love,7.2,1
1036,"Sex, Lies, and Videotape",7.2,1
1037,Scream,7.2,1
1038,Rio Grande,7.2,1
1039,Real Life,7.2,1
1040,Project A 2,7.2,1
1041,Out of Africa,7.2,1
1042,One-Eyed Jacks,7.2,1
1043,Oklahoma!,7.2,1
1044,Of Gods and Men,7.2,1
1045,Muriel's Wedding,7.2,1
1046,Marnie,7.2,1
1047,Manhunter,7.2,1
1048,Man of the West,7.2,1
1049,Le Havre,7.2,1
1050,Last Tango in Paris,7.2,1
1051,Klute,7.2,1
1052,I Walked with a Zombie,7.2,1
1053,Gunfight at the O.K. Corral,7.2,1
1054,Grease,7.2,1
1055,Five Deadly Venoms,7.2,1
1056,Fast Times at Ridgemont High,7.2,1
1057,Elephant,7.2,1
1058,Diner,7.2,1
1059,Children of a Lesser God,7.2,1
1060,Chicago,7.2,1
1061,Chariots of Fire,7.2,1
1062,Brightness,7.2,1
1063,Animal Farm,7.2,1
1064,Aileen: Life and Death of a Serial Killer,7.2,1
1065,A Touch of Sin,7.2,1
1066,Zabriskie Point,7.1,1
1067,Utu,7.1,1
1068,Tinker Tailor Soldier Spy,7.1,1
1069,Three Kings,7.1,1
1070,The Spider's Stratagem,7.1,1
1071,The Passion of the Christ,7.1,1
1072,The Masque of the Red Death,7.1,1
1073,The Man Who Had His Hair Cut Short,7.1,1
1074,The Last Seduction,7.1,1
1075,The Hired Hand,7.1,1
1076,The Harder They Come,7.1,1
1077,The Bitter Tea of General Yen,7.1,1
1078,The Big Sky,7.1,1
1079,The Barefoot Contessa,7.1,1
1080,The Asthenic Syndrome,7.1,1
1081,Slacker,7.1,1
1082,Silver Lode,7.1,1
1083,Safe,7.1,1
1084,Sabotage,7.1,1
1085,Pandora and the Flying Dutchman,7.1,1
1086,Naked Lunch,7.1,1
1087,My Own Private Idaho,7.1,1
1088,Gabbeh,7.1,1
1089,Four Weddings and a Funeral,7.1,1
1090,Daybreak,7.1,1
1091,Bull Durham,7.1,1
1092,Attack the Gas Station!,7.1,1
1093,A.I. Artificial Intelligence,7.1,1
1094,Wanda,7,1
1095,Up in Smoke,7,1
1096,Two or Three Things I Know About Her...,7,1
1097,The Paleface,7,1
1098,The Mad Masters,7,1
1099,The Host,7,1
1100,The Heartbreak Kid,7,1
1101,The Exiles,7,1
1102,The Cabin in the Woods,7,1
1103,"Tetsuo, the Iron Man",7,1
1104,Scorpio Rising,7,1
1105,San Pietro,7,1
1106,Red Psalm,7,1
1107,Performance,7,1
1108,Meet the Parents,7,1
1109,Mad Max,7,1
1110,Louisiana Story,7,1
1111,Kundun,7,1
1112,King of New York,7,1
1113,High Society,7,1
1114,Henry: Portrait of a Serial Killer,7,1
1115,Gomorrah,7,1
1116,Come Drink with Me,7,1
1117,Ceddo,7,1
1118,Blackmail,7,1
1119,Aileen Wuornos: The Selling of a Serial Killer,7,1
1120,WR: Mysteries of the Organism,6.9,1
1121,Top Gun,6.9,1
1122,The Towering Inferno,6.9,1
1123,The Seventh Victim,6.9,1
1124,The Idiots,6.9,1
1125,The Cool World,6.9,1
1126,Secret Beyond the Door...,6.9,1
1127,Pretty Woman,6.9,1
1128,"No Fear, No Die",6.9,1
1129,Marcel Proust's Time Regained,6.9,1
1130,Le Dernier Combat (The Last Battle),6.9,1
1131,Independence Day,6.9,1
1132,Gohatto,6.9,1
1133,Gigi,6.9,1
1134,Fatal Attraction,6.9,1
1135,Carmen Jones,6.9,1
1136,Things to Come,6.8,1
1137,The Smiling Madame Beudet,6.8,1
1138,The Quiet Earth,6.8,1
1139,The Man in Grey,6.8,1
1140,The Fabulous Baker Boys,6.8,1
1141,The Bigamist,6.8,1
1142,The Accidental Tourist,6.8,1
1143,Saturday Night Fever,6.8,1
1144,Romper Stomper,6.8,1
1145,Prizzi's Honor,6.8,1
1146,Me and My Gal,6.8,1
1147,Loulou,6.8,1
1148,Kandahar,6.8,1
1149,"Faster, Pussycat! Kill! Kill!",6.8,1
1150,Bridesmaids,6.8,1
1151,Babe,6.8,1
1152,Archangel,6.8,1
1153,The Tree of Life,6.7,1
1154,The Pillow Book,6.7,1
1155,The Nutty Professor,6.7,1
1156,The Man Who Fell to Earth,6.7,1
1157,Signs,6.7,1
1158,Last Chants for a Slow Dance,6.7,1
1159,Fires Were Started,6.7,1
1160,David Holzman's Diary,6.7,1
1161,Caravaggio,6.7,1
1162,Artists and Models,6.7,1
1163,A Throw of Dice,6.7,1
1164,A Question of Silence,6.7,1
1165,Sleeping Dogs,6.6,1
1166,Shaft,6.6,1
1167,Satyricon,6.6,1
1168,Report,6.6,1
1169,In the Realm of the Senses,6.6,1
1170,Dog Star Man: Part I,6.6,1
1171,"Dance, Girl, Dance",6.6,1
1172,Beat the Devil,6.6,1
1173,Babes in Arms,6.6,1
1174,Alice,6.6,1
1175,Tongues Untied,6.5,1
1176,The Ladies Man,6.5,1
1177,Super Fly,6.5,1
1178,Song at Midnight,6.5,1
1179,She's Gotta Have It,6.5,1
1180,She Done Him Wrong,6.5,1
1181,Méditerranée,6.5,1
1182,Judge Priest,6.5,1
1183,Fat Girl,6.5,1
1184,Dark Star,6.5,1
1185,Candyman,6.5,1
1186,The Rapture,6.4,1
1187,The Hills Have Eyes,6.4,1
1188,Sombre,6.4,1
1189,Monsters,6.4,1
1190,Mondo cane,6.4,1
1191,Kippur,6.4,1
1192,India Song,6.4,1
1193,Within Our Gates,6.3,1
1194,Under the Skin,6.3,1
1195,Paranormal Activity,6.3,1
1196,Too Early/Too Late,6.1,1
1197,Pink Flamingos,6.1,1
1198,Hill 24 Doesn't Answer,6.1,1
1199,Deseret,6.1,1
1200,"Salò, or the 120 Days of Sodom",6,1
1201,The Captive,5.9,1
1202,Wavelength,5.8,1
1203,Hold Me While I'm Naked,5.8,1
1204,Heaven and Earth Magic,5.7,1
1205,Puppetmaster,5.6,1
1206,Sweet Sweetback's Baadasssss Song,5.5,1
1207,Flaming Creatures,5.1,1
1208,Vinyl,5,1
1209,Blonde Cobra,3.2,1
